DateTime,o3,so2,co,no,no2,nox,pm25,t,rh,ws,wd
20170702 03:00,0.011,0.4,,0.7,7.5,8.2,10.45,22.7,,1.8,267.1
20170702 04:00,0.009,0.3,,0.8,8.3,9.2,11,22.6,,1.9,264.5
20170702 05:00,0.007,0.4,,3.2,8.9,12.2,14.07,22.7,,1.9,281.1
20170702 06:00,0.016,0.6,,2.8,5.8,8.7,14.16,23.9,,3,278.8
20170702 07:00,0.032,0.5,,1.1,3,4.2,9.31,25.5,,4,290.4
20170702 08:00,0.044,0.4,,0.8,2.1,3,7.78,26.6,,3.8,294.2
20170702 09:00,0.048,0.4,,0.6,1.9,2.6,9.5,27.6,,4.8,292.5
20170702 10:00,0.054,0.5,,0.4,1.6,2,10.43,28.7,,3.8,279.8
20170702 11:00,0.055,0.4,,0.4,1.6,2.1,13.32,29.5,,5.1,257.2
20170702 12:00,0.055,0.2,,0.6,2.6,3.3,15.21,30.1,,6,288
20170702 13:00,0.057,0.2,,0.3,1.6,2,17.31,30.8,,5.6,258.6
20170702 14:00,0.058,0.2,,0.4,1.8,2.2,17.35,30.9,,7,261.7
20170702 15:00,0.055,0.2,,0.4,1.6,2.1,15.54,31.2,,7.2,267.7
20170702 16:00,0.062,0.2,,0.3,1.9,2.2,15.95,31.3,,5.8,245.7
20170702 17:00,0.066,0.2,,0.2,2.3,2.6,14.84,31.1,,5.6,233.8
20170702 18:00,0.062,0.2,,0.2,3.8,4.1,13.38,30.6,,4.3,233.2
20170702 19:00,0.057,0.3,,0.3,6.1,6.4,13.42,29.9,,3.3,241.7
20170702 20:00,0.047,2.3,,0.9,10.3,11.3,37.41,29.2,,3.1,255
20170702 21:00,0.048,0.5,,0.5,5.7,6.2,17.66,28.2,,3.7,263.9
20170702 22:00,0.047,0.4,,0.4,4,4.4,18.06,27.4,,5.9,281.2
20170702 23:00,0.043,0.3,,0.4,4.3,4.7,17.55,26.7,,5.4,294.9
20170703 00:00,0.04,0.3,,0.5,4.2,4.8,18.32,25.7,,5.8,300.9
20170703 01:00,0.037,0.3,,0.5,3.5,4.1,17.63,25,,3.6,282.5
20170703 02:00,0.03,0.3,,0.7,6.2,6.9,15.65,24.5,,2.4,280.4
20170703 03:00,0.025,0.5,,1.3,8.9,10.3,14.76,24,,2.4,301.6
20170703 04:00,0.012,0.5,,1.9,14,16,14.59,23.2,,1.3,218.5
20170703 05:00,0.017,0.7,,3,13.4,16.4,11.68,23.3,,3,270.4
20170703 06:00,0.022,1.1,,11.6,15.5,27.1,8.7,25.3,,5,299.1
20170703 07:00,,1.1,,5.4,10.6,16,7.85,26.9,,7,309
20170703 08:00,,,,2.9,5.9,8.9,8.26,28.2,,8.1,294.8
20170703 09:00,0.051,1,,2.9,4.8,7.8,8.69,29.1,,7.1,315
20170703 10:00,0.055,0.7,,1.9,5.2,7.2,8.63,29.6,,6.9,305.1
20170703 11:00,0.06,0.6,,4.1,3.6,7.8,10.22,30,,7.8,292.5
20170703 12:00,0.063,0.7,,3.3,5.2,8.5,16.95,30.7,,6.6,312.8
20170703 13:00,0.064,0.6,,3.9,3.5,7.4,13.68,31.3,,6.6,280.5
20170703 14:00,0.064,0.4,,1.336,4.1,5.5,12.14,31.6,,7,286.5
20170703 15:00,0.062,0.4,,1.3,4.1,5.5,9.88,31.7,,8.5,294.7
20170703 16:00,0.063,0.4,,0.8,3.7,4.6,11.13,31.8,,7.7,300.5
20170703 17:00,0.065,0.3,,0.4,3.3,3.8,12.73,31.7,,6.1,277.6
20170703 18:00,0.063,0.4,,0.2,3.8,4.1,13.62,31,,4.3,255.6
20170703 19:00,0.055,0.4,,0.3,6.9,7.2,13.64,30.2,,3.2,248.5
20170703 20:00,0.043,0.5,,0.6,12.3,13,14.99,29.1,,2.7,242.3
20170703 21:00,0.045,0.6,,0.8,10.4,11.2,14.73,28.3,,2.8,250
20170703 22:00,0.045,0.6,,0.9,9.7,10.7,17.02,27.5,,3.5,274.9
20170703 23:00,0.043,0.5,,0.9,8.4,9.3,18.03,26.7,,4.7,282.2
20170704 00:00,0.047,0.5,,2.851,7.3,8.3,16.7,26.1,,3.4,280.2
20170704 01:00,0.045,0.5,,0.7,5.2,5.9,15.72,25.7,,2.8,326.8
20170704 02:00,0.039,0.5,,0.8,7.1,7.9,16.63,25.3,,2.5,265.1
20170704 03:00,0.035,0.5,,0.8,7.2,8.1,17.19,25,,2.2,268.4
20170704 04:00,0.034,0.5,,0.9,7,7.9,15.25,24.7,,2.8,334.6
20170704 05:00,0.032,0.7,,1.3,6.1,7.5,12.42,24.7,,3.4,356.7
20170704 06:00,0.032,0.7,,1.4,4,5.5,11.88,25.2,,4,9
20170704 07:00,0.033,0.7,,2,4.1,6.2,12.47,25.3,,5.6,8.1
20170704 08:00,0.04,0.9,,2.1,6.3,8.4,15.1,26.2,,6.3,53.8
20170704 09:00,0.049,1.6,,2.6,9.5,12.2,16.83,27,,6.9,91.2
20170704 10:00,0.061,1.7,,1.6,7.9,9.6,16.67,27.2,,7.8,93.9
20170704 11:00,0.069,1,,0.9,5.3,6.3,15.34,28,,5.1,84.9
20170704 12:00,0.071,0.7,,0.8,4.5,5.3,14.01,29.1,,3.9,60.3
20170704 13:00,0.069,0.6,,1.2,4.8,6.1,13.24,30,,3.6,38.1
20170704 14:00,0.075,0.6,,0.8,5.1,5.9,14.14,30.5,,3.8,141
20170704 15:00,0.086,0.9,,0.6,5.8,6.4,16.32,30.6,,4.6,104.6
20170704 16:00,0.067,0.6,,0.4,3.7,4.1,15.54,30.1,,5.2,152.9
20170704 17:00,0.053,0.4,,0.3,3.5,3.9,15.97,27.2,,5.7,208.7
20170704 18:00,0.047,0.2,,1,6.1,7.2,27.71,24.3,,5.7,296.4
20170704 19:00,0.048,0.2,,0.5,4.8,5.3,28.91,23.7,,2.4,332.8
20170704 20:00,0.041,0.4,,0.6,7.8,8.4,40.57,23.6,,4.5,94.5
20170704 21:00,0.033,0.6,,1.2,11.8,13,45.67,23.5,,4.4,86.7
20170704 22:00,0.03,0.8,,0.9,9.2,10.1,21.44,23.6,,3.6,96.7
20170704 23:00,0.035,0.7,,0.5,6.5,7.1,14.4,23.3,,3.9,90.6
20170705 00:00,0.034,0.6,,0.6,6.7,7.4,15.71,23.1,,3.3,49.8
20170705 01:00,0.026,0.6,,0.8,12.3,13.1,16.96,22.8,,4.5,66.2
20170705 02:00,0.036,0.6,,0.5,7.8,8.4,11.14,23,,4.8,89.9
20170705 03:00,0.037,0.6,,0.5,6.2,6.8,10.15,23,,4.4,95
20170705 04:00,0.034,0.5,,1.2,9.1,10.3,10.91,22.9,,3.4,87.5
20170705 05:00,0.034,0.6,,2.1,9.4,11.6,10.69,23.1,,4.4,82.5
20170705 06:00,0.031,1,,3.2,12.2,15.4,11.67,23.5,,7.1,90.8
20170705 07:00,0.032,0.9,,3.4,11,14.4,12.25,23.8,,6.6,92.7
20170705 08:00,0.028,0.9,,5.4,13.2,18.6,12.14,24.1,,6.2,88.8
20170705 09:00,0.034,0.6,,2.681,,,11.13,24.8,,6.6,86.3
20170705 10:00,0.037,0.5,,2.5,,,12.01,25.2,,6.5,85.6
20170705 11:00,0.039,0.8,,3.2,12.5,15.8,12.41,25.8,,5.2,104.3
20170705 12:00,0.04,0.5,,2.4,8.9,11.3,9.75,26.4,,5.8,115
20170705 13:00,0.042,0.4,,1.6,5,6.6,7.22,27,,7.5,109.3
20170705 14:00,0.043,0.4,,2.2,5.9,8.2,8.06,27.6,,7.6,108.1
20170705 15:00,0.042,0.4,,2.2,6.5,8.7,8.55,27.6,,7.5,112.9
20170705 16:00,0.042,0.4,,1.4,5,6.5,9.23,27.5,,7.1,111.4
20170705 17:00,0.042,0.4,,0.9,4.3,5.3,8.9,27.4,,6.7,114.3
20170705 18:00,0.042,0.3,,0.4,3.7,4.1,8.17,26.9,,6.4,128.4
20170705 19:00,0.037,0.4,,0.5,5.5,6,8.38,25.8,,4.9,118.1
20170705 20:00,0.035,0.5,,0.4,5.3,5.7,7.57,24.7,,5,117.1
20170705 21:00,0.034,0.4,,0.4,5,5.5,8.09,23.4,,5.4,111.5
20170705 22:00,0.032,0.3,,0.4,4.8,5.2,8.73,22.5,,5,114
20170705 23:00,0.032,0.3,,0.3,3.9,4.3,8.78,22,,4.9,101.8
20170706 00:00,0.03,0.4,,0.3,4.8,5.1,9.09,21.9,,4.8,99.7
20170706 01:00,0.029,0.5,,0.4,4.7,5.1,8.95,21.8,,4.1,99.5
20170706 02:00,0.027,0.3,,0.5,5,5.5,8.91,21.6,,4.5,100.1
20170706 03:00,0.025,0.3,,0.8,5.4,6.2,9.06,21.5,,5.2,103.2
20170706 04:00,0.023,0.3,,1.2,6.3,7.5,8.69,21.5,,4.8,88.2
20170706 05:00,0.019,0.4,,1.7,8,9.8,8.62,21.4,,5.7,90
20170706 06:00,0.017,0.5,,3.7,9.3,13.1,9.2,21.4,,5.4,96.3
20170706 07:00,0.016,0.4,,4,10.7,14.8,9.19,21.5,,4.7,102.4
20170706 08:00,0.017,0.3,,3.7,8.5,12.2,9.97,21.9,,5,105.1
20170706 09:00,0.019,0.3,,3,7.1,10.2,11.2,22.3,,5.3,109
20170706 10:00,0.02,0.3,,2.5,6.7,9.3,8.69,22.5,,5.2,112
20170706 11:00,0.02,0.3,,3.4,7.8,11.3,7.52,22.7,,4.8,108.6
20170706 12:00,0.022,0.3,,3.5,7.1,10.6,8.06,23.1,,5.6,96.1
20170706 13:00,0.022,0.3,,3,7.1,10.1,8.88,23.1,,4.9,80
20170706 14:00,0.018,0.3,,2.2,9.2,11.4,9.84,22.7,,4.9,101.7
20170706 15:00,0.019,0.3,,2.8,7.4,10.2,7.4,22.3,,5.3,89.6
20170706 16:00,0.019,0.3,,2.7,6.9,9.7,8.86,22.7,,6.9,86.8
20170706 17:00,0.021,0.3,,2.1,6.6,8.7,9.25,22.9,,6.4,92.8
20170706 18:00,0.02,0.3,,1.4,6.7,8.2,8.23,23,,5.9,96.5
20170706 19:00,0.018,0.3,,1,6.2,7.3,7.79,22.9,,6.1,88.4
20170706 20:00,0.018,0.3,,0.9,5.7,6.6,7.39,22.7,,5.4,100.7
20170706 21:00,0.017,0.3,,0.8,4.4,5.3,7.97,22.3,,6.1,92.1
20170706 22:00,0.017,0.3,,0.6,3.4,4,7.44,21.8,,5.9,85.9
20170706 23:00,0.017,0.2,,0.5,2,2.5,6.01,21.7,,4.8,88
20170707 00:00,0.017,0.2,,0.4,3.3,3.7,8.77,21.8,,4.9,79.7
20170707 01:00,0.015,0.3,,0.3,4.8,5.2,9.98,22,,5.1,89.1
20170707 02:00,0.016,0.2,,0.3,3.2,3.6,6.48,21.8,,4.1,91.5
20170707 03:00,0.013,0.2,,0.4,5.1,5.6,7.01,21.8,,3.5,107.3
20170707 04:00,0.012,0.2,,0.7,5.1,5.8,8.12,21.9,,2.7,124.4
20170707 05:00,0.008,0.2,,2.5,8.4,10.9,10.54,22,,2.2,124.6
20170707 06:00,0.007,0.2,,4.2,9.8,14.1,9.23,22.1,,2.1,132
20170707 07:00,0.009,0.3,,3.6,8.4,12,12.66,22.6,,2,178.9
20170707 08:00,0.012,0.4,,5.5,7.5,13.1,10.02,23.5,,2.8,265.3
20170707 09:00,0.016,0.3,,7.2,8.7,15.9,3.18,22,,6.2,335.7
20170707 10:00,0.026,0.3,,5.8,6.1,11.9,2.35,22.9,,6.4,341
20170707 11:00,0.031,0.4,,5.4,6,11.4,2.35,24.2,,6.9,341
20170707 12:00,0.036,0.3,,3.7,4.6,8.4,2.25,26.2,,7.9,335.7
20170707 13:00,0.034,0.3,,4.4,5,9.4,2.16,27.4,,6.9,326.9
20170707 14:00,0.041,0.2,,3.2,5.3,8.5,3.03,28.4,,7.2,314.4
20170707 15:00,0.046,0.2,,1.7,4,5.7,4.59,29,,6.6,291.9
20170707 16:00,0.048,0.2,,0.9,3,3.9,5.1,29.3,,5.4,262.5
20170707 17:00,0.05,0.2,,0.8,3.7,4.5,5.28,29.3,,5.8,250.6
20170707 18:00,0.046,0.3,,0.4,4.9,5.3,5,28.4,,4.3,237.4
20170707 19:00,0.046,0.2,,1,6.9,7.9,7.63,24.2,,7.5,322
20170707 20:00,0.043,0.2,,0.6,8.2,8.9,12.46,22.6,,1.9,20.4
20170707 21:00,0.032,0.2,,0.6,13.2,13.9,15.56,22.6,,1.9,224.4
20170707 22:00,0.024,0.3,,0.7,17.2,18,13.17,22.5,,1.5,260.8
20170707 23:00,0.027,0.4,,0.9,13.3,14.3,13.47,22.5,,2.5,278.7
20170708 00:00,0.018,0.4,,0.9,13.4,14.3,15.7,22.2,,2.2,269.1
20170708 01:00,0.015,0.4,,1,13.6,14.7,14.57,21.8,,2.6,284
20170708 02:00,0.017,0.4,,0.9,11.5,12.4,10.98,21.8,,3,301.1
20170708 03:00,0.023,0.3,,0.7,8.7,9.5,7.28,21.7,,4.1,283.4
20170708 04:00,0.026,0.3,,0.8,6,6.9,6.76,21.3,,3.7,313.5
20170708 05:00,0.021,0.3,,1.4,7.8,9.3,8.31,21.1,,4,292.2
20170708 06:00,0.025,0.3,,4.78,6.9,10.5,7.19,21.4,,5.3,281.1
20170708 07:00,0.032,0.3,,1.6,4.2,5.9,6.4,23,,5.1,278.2
20170708 08:00,0.041,0.4,,1.3,3.3,4.6,5.8,25.1,,8.1,288.8
20170708 09:00,0.05,0.3,,1,2.9,3.9,5.45,26.7,,7.7,284.9
20170708 10:00,0.055,0.3,,0.6,2,2.7,5.6,27.9,,6,290.1
20170708 11:00,0.057,0.2,,0.6,1.7,2.3,7.09,28.7,,7.9,287.9
20170708 12:00,0.055,0.2,,0.8,2.4,3.2,9.55,28.5,,9.3,293.4
20170708 13:00,0.056,0.2,,0.8,2.8,3.7,10,28.7,,9.2,298.2
20170708 14:00,0.053,0.2,,1.8,3.3,5.2,9.37,29.1,,9.2,288.7
20170708 15:00,0.053,0.2,,0.6,2,2.7,8.09,29.6,,9.4,275.7
20170708 16:00,0.053,0.2,,0.6,2.3,3,9.66,29.6,,10.7,283.8
20170708 17:00,0.051,0.2,,0.6,3,3.6,11.84,29.5,,10.6,292.1
20170708 18:00,0.047,0.2,,0.5,3.5,4.1,12.42,28.4,,8.1,304.1
20170708 19:00,0.042,0.2,,0.6,4.5,5.1,12.76,26.3,,7.7,297.9
20170708 20:00,0.037,0.2,,0.4,4.8,5.3,15.17,25.4,,6.1,292.2
20170708 21:00,0.032,0.3,,1.1,6.5,7.6,15.2,25,,6.3,308.6
20170708 22:00,0.031,0.3,,0.6,6.3,7,14.65,24.2,,5.1,303.3
20170708 23:00,0.031,0.3,,0.6,4.9,5.6,13.38,23.5,,5.8,310.9
20170709 00:00,0.03,0.3,,0.3,3.8,4.2,13.21,22.6,,6.9,311.3
20170709 01:00,0.028,0.3,,0.3,3.4,3.7,12.11,22,,7.7,312.7
20170709 02:00,0.026,0.2,,0.4,3.3,3.8,11.47,21.2,,7.2,321.2
20170709 03:00,0.024,0.3,,0.3,3.4,3.8,10.61,20.7,,6.3,323.5
20170709 04:00,0.021,0.3,,0.5,4.9,5.4,10.27,20.2,,5.5,326.6
20170709 05:00,0.019,0.3,,1.1,4,5.2,10.03,20,,4.7,322
20170709 06:00,0.022,0.5,,1.7,3.5,5.3,9.18,21.3,,5.1,321.9
20170709 07:00,0.024,0.7,,1.4,2.7,4.2,9.26,22.5,,6.2,301.4
20170709 08:00,0.028,0.3,,1.1,2.3,3.4,9.49,23.6,,6.2,315.7
20170709 09:00,0.031,0.2,,0.8,1.7,2.6,9.11,24.5,,7.6,298.9
20170709 10:00,0.035,0.3,,0.8,1.5,2.4,8.77,25.3,,7,294.5
20170709 11:00,0.038,0.3,,1,1.5,2.5,8.96,25.8,,7.3,280.2
20170709 12:00,0.039,0.2,,1.275,1.6,2.7,8.95,26.2,,7.2,290
20170709 13:00,0.04,0.2,,0.6,1.4,2,8.68,26.6,,7.6,281.5
20170709 14:00,0.04,0.2,,0.8,2,2.9,8.2,26.9,,7.5,293.7
20170709 15:00,0.042,0.2,,0.6,1.5,2.1,7.16,27.3,,7.3,275.1
20170709 16:00,0.043,0.2,0.58,0.6,1.9,2.5,6.53,27.4,,7.8,282.1
20170709 17:00,0.042,0.2,0.583,0.5,1.4,2,7.15,27.2,,7.2,285.2
20170709 18:00,0.041,0.2,0.596,0.6,2.3,2.9,7.51,26.8,,6.8,293.9
20170709 19:00,0.039,0.2,0.618,0.3,3.9,4.2,8.73,26,,3.9,291.6
20170709 20:00,0.026,0.3,0.767,1.1,12.6,13.7,11.37,24.9,,1.2,276.3
20170709 21:00,0.011,0.7,0.888,1.6,23.4,25,14.79,23.8,,1,191.8
20170709 22:00,0.008,0.9,0.911,0.9,19.6,20.6,17.38,23,,0.9,227.7
20170709 23:00,0.004,1,0.921,2.1,18.8,21,14.62,21.8,,1,125.1
20170710 00:00,0.002,1.2,0.844,3,18.7,21.8,13.41,21.3,,1.1,131
20170710 01:00,0.01,1.1,0.775,1.8,13.3,15.1,10.26,21,,1.4,355.6
20170710 02:00,0.011,0.9,0.71,1.7,12.7,14.4,9.9,20.6,,2.1,9
20170710 03:00,0.009,0.8,0.707,2.8,13,15.8,9.95,20.4,,1.6,347.3
20170710 04:00,0.002,0.8,0.775,8.904,18.2,26.4,9.51,20.6,,,10.1
20170710 05:00,0.001,1.1,0.864,18.59,19.3,37.7,9.69,21,,1.2,9.5
20170710 06:00,0.004,2,0.872,23.2,23,46.3,11.96,22.1,,1.5,145.2
20170710 07:00,0.013,2,0.784,12.6,21.3,33.8,15.28,23.5,,2.7,145.8
20170710 08:00,0.036,1.3,0.657,1.7,4.5,6.3,10.7,25.6,,4.9,199.7
20170710 09:00,0.043,0.7,,1,2.9,4,10.29,26.7,,6.7,184
20170710 10:00,0.046,0.6,,0.7,2.7,3.5,15.75,27,,6.4,200.9
20170710 11:00,0.048,,,0.8,2.7,3.6,18.37,27.4,,6.3,199.2
20170710 12:00,0.046,,,0.6,2.5,3.2,15.61,28,,7.2,176.2
20170710 13:00,0.047,,0.214,0.7,2.6,3.3,13.28,28.8,,6.7,185.8
20170710 14:00,0.048,,0.227,0.6,2.6,3.3,15.21,28.9,,5.4,185.5
20170710 15:00,0.047,,0.247,0.8,3.8,4.7,14,29.5,,5.7,185.1
20170710 16:00,0.047,,0.27,0.9,4.5,5.4,11.45,29.8,,4.6,204.6
20170710 17:00,0.049,,0.227,0.4,2.8,3.2,11.33,29.3,,5.8,181.8
20170710 18:00,0.046,,0.219,0.3,3.7,4,11.54,28.8,,3.7,191.7
20170710 19:00,0.04,,0.23,0.3,6.3,6.6,12.98,28,,3,186.7
20170710 20:00,0.036,,0.233,0.7,5.5,6.2,14,27.5,,2.9,190.2
20170710 21:00,0.04,,0.219,0.3,5.4,5.7,12.5,27.2,,3.5,230.3
20170710 22:00,0.038,,0.228,0.5,7.3,7.8,13.35,26.5,,2.2,249.2
20170710 23:00,0.035,,0.208,0.3,6,6.4,14.42,25.9,,2.4,201.1
20170711 00:00,0.035,,0.197,0.4,3.8,4.3,15.51,25.2,,2.5,185.8
20170711 01:00,0.033,,0.2,0.4,4.2,4.7,15.15,25.1,,3,231.3
20170711 02:00,0.03,,0.186,1.3,5.2,6.5,15.38,24.9,,3.2,236.4
20170711 03:00,0.026,,0.197,0.6,5.7,6.4,16.29,24.5,,2.8,250.3
20170711 04:00,0.018,,0.227,1.6,12.1,13.8,18.29,24.2,,3.8,287
20170711 05:00,0.02,,0.26,1.6,9.9,11.5,17.93,24.4,,5,283.9
20170711 06:00,0.021,,0.272,4.6,10.6,15.3,14.99,25,,4.7,271.7
20170711 07:00,0.025,,0.282,4.718,10.8,15.6,13.21,25.9,,4.2,252.1
20170711 08:00,0.035,,0.266,2.8,8.6,11.4,11.03,26.9,,3.8,232.6
20170711 09:00,,,0.223,11.3,0.6,12,14.12,28.1,,4.5,228.8
20170711 10:00,,,0.229,1,4.2,5.3,19.14,29.2,,5,231.2
20170711 11:00,0.049,,0.208,0.9,3,3.9,13.22,30.9,,6.7,241.6
20170711 12:00,0.05,,0.219,0.8,3.4,4.3,11.38,31,,7.4,258.9
20170711 13:00,0.06,,0.241,0.9,5.1,6,14.9,30.3,,7.1,249.4
20170711 14:00,0.075,,0.261,1.4,5.5,6.9,17.36,31.1,,9.8,276.1
20170711 15:00,0.079,,0.272,1,5.5,6.5,16.23,32,,9,268
20170711 16:00,0.074,,0.289,1.1,5.2,6.3,15.59,32,,7.9,255.6
20170711 17:00,0.059,,0.236,0.4,3.9,4.4,14.19,31.9,,6.1,246
20170711 18:00,0.057,,0.246,0.3,4.6,5,15.66,31.1,,5.4,240.7
20170711 19:00,0.051,,0.267,0.508,7.2,7.7,16.54,29.8,,3.6,241.2
20170711 20:00,0.039,,0.314,0.6,10.4,11,20.29,28.8,,2.4,231.2
20170711 21:00,0.033,,0.314,0.7,11.5,12.3,24.24,28.3,,2.2,236.8
20170711 22:00,0.03,,0.319,1.1,11.9,13,28.46,27.8,,2.4,247.6
20170711 23:00,0.031,,0.275,0.9,7.8,8.7,25.8,27.4,,4.1,271.4
20170712 00:00,0.034,,0.219,0.6,4.3,5,18.14,27.1,,5.6,284.9
20170712 01:00,0.034,,0.2,0.5,3.2,3.7,15.5,26.9,,5.8,284
20170712 02:00,0.033,,0.193,0.5,3.3,3.8,15.19,26.5,,4.7,292.8
20170712 03:00,0.03,,0.195,0.4,4.6,5.1,15.36,26.1,,3.5,266.2
20170712 04:00,0.024,,0.226,0.9,8.2,9.1,17.32,25.3,,2.4,247.9
20170712 05:00,0.022,,0.253,1.4,10.2,11.6,17.25,25.2,,3.6,275.5
20170712 06:00,0.017,,0.312,7.7,15.5,23.3,16.4,25.7,,4.2,274.7
20170712 07:00,0.02,,0.311,5.885,14,18.6,16.04,26.3,,3.8,274.9
20170712 08:00,0.038,,0.227,1.901,,,15.04,28.5,,8.5,285.8
20170712 09:00,0.04,,0.201,1.357,,,14.01,27.7,,9.5,292
20170712 10:00,0.047,,0.206,2.324,,,13.25,28.7,,6.1,268.3
20170712 11:00,0.056,,0.218,1.2,4.1,5.3,12.23,30.4,,9,273.1
20170712 12:00,0.052,,0.21,1.1,3.9,5.1,12.06,30.7,,9.2,276.8
20170712 13:00,0.053,,0.216,1.1,3.5,4.7,13.94,30.8,,9.5,274.5
20170712 14:00,0.053,,0.226,1.7,4.1,5.8,14.8,31.5,,8.8,271.5
20170712 15:00,0.052,,0.236,1.2,3.5,4.7,16.01,31.6,,9.8,271
20170712 16:00,0.05,,0.238,1.6,3.8,5.5,15.03,31.3,,9.3,282.2
20170712 17:00,0.049,,0.238,1.3,3.5,4.8,14.8,31.5,,7.9,272.8
20170712 18:00,0.047,,0.254,0.7,3.9,4.6,15.74,31.3,,7.2,271.3
20170712 19:00,0.039,,0.295,0.4,7.3,7.8,16.63,30.2,,3.6,255.3
20170712 20:00,0.036,,0.311,1.4,6.9,8.4,20.07,29.6,,4.1,274.9
20170712 21:00,0.029,,0.348,0.7,10.8,11.6,21.32,28.9,,2.2,254.8
20170712 22:00,0.028,,0.381,1.2,14.9,16.2,24.61,28,,1.9,243.2
20170712 23:00,0.026,,0.367,1.4,16.7,18.1,29.17,27.8,,1.9,259.7
20170713 00:00,0.02,,0.365,1.5,18,19.5,31.88,27.2,,1.1,249.9
20170713 01:00,0.023,,0.326,1.3,14.7,16.1,35.2,26.5,,1.1,229.3
20170713 02:00,0.023,,0.29,1.3,11.9,13.3,37.51,26.3,,1.1,245.3
20170713 03:00,0.019,,0.282,1.7,14.2,16,38.43,26.3,,1.4,273
20170713 04:00,0.007,,0.33,2.7,20.6,23.3,40.42,25.9,,1.7,219
20170713 05:00,0.008,,0.385,5.5,21,26.5,41.62,25.8,,1.1,250.7
20170713 06:00,0.012,,0.411,13.3,19.3,32.7,36.13,27,,3,263.1
20170713 07:00,0.03,,0.317,4.5,10.7,15.3,24.09,28.5,,5,269.7
20170713 08:00,0.044,,0.281,3.4,6.8,10.2,15.91,30.5,,4.8,268.5
20170713 09:00,0.05,,0.247,1.2,4.7,5.9,14.68,31.4,,6,263.5
20170713 10:00,0.049,,,1.1,3.5,4.7,16.55,32.3,,7.6,273.5
20170713 11:00,0.051,,,2.6,5.6,8.3,17.8,33,,7.5,271
20170713 12:00,0.05,,0.23,1,3.6,4.6,16.82,33.1,,10.4,279.8
20170713 13:00,0.048,,0.229,1.5,4.2,5.7,16,32.8,,8.9,275.7
20170713 14:00,0.048,,0.233,1.5,4.5,6,15.15,32.8,,6.8,256.8
20170713 15:00,0.051,,0.25,1.5,6,7.5,16.5,32.6,,8.2,273.5
20170713 16:00,0.049,,0.289,1.3,5.5,6.9,17.81,32.5,,5.7,275.3
20170713 17:00,0.048,,0.245,1,4.8,5.8,15.42,32.5,,7.3,280.4
20170713 18:00,0.044,,0.253,0.9,5.5,6.4,14.77,31.2,,6.9,311.8
20170713 19:00,0.04,,0.247,1.7,5.6,7.3,10.23,27.5,,5.7,353.4
20170713 20:00,0.042,,0.236,0.9,4.3,5.3,7.39,26.2,,4.8,34.7
20170713 21:00,0.038,,0.206,2.474,6.5,7.5,8.24,25.7,,3.5,137.8
20170713 22:00,0.033,,0.213,0.5,8.6,9.2,9.99,25.6,,2.5,181.8
20170713 23:00,0.034,,0.213,0.7,7.9,8.6,10.67,25.5,,1.4,253.5
20170714 00:00,0.028,,0.227,0.7,10.2,10.9,12.96,25.6,,2.5,128.6
20170714 01:00,0.029,,0.214,0.6,9,9.7,13.77,25.3,,1.6,157.7
20170714 02:00,0.02,,0.244,0.9,12.1,13,15.05,25.3,,2.6,262.5
20170714 03:00,0.027,,0.225,3.173,9.6,10.8,12.6,25.2,,1.8,133
20170714 04:00,0.021,,0.251,1.4,11.8,13.3,14.33,25.1,,2.5,272.4
20170714 05:00,0.014,,0.319,3.6,16.7,20.3,18.35,24.2,,1.7,316.1
20170714 06:00,0.019,,0.309,4.3,14.1,18.5,19.02,24.4,,2.6,97.6
20170714 07:00,0.025,,0.276,3.2,12.9,16.1,18.65,25.1,,1.9,151
20170714 08:00,0.027,,0.331,4,12.3,16.4,19.07,25.7,,3.7,334.2
20170714 09:00,0.029,,0.269,2.3,9.1,11.5,8.91,24.6,,1.7,165.2
20170714 10:00,0.041,,0.223,2.1,5.9,8.1,4.94,26.3,,2.1,166.5
20170714 11:00,0.052,,0.242,2.6,8.9,11.5,10.66,27.5,,4.3,129.1
20170714 12:00,0.064,,0.251,1.5,7.4,9,12.97,28.2,,5.2,98.5
20170714 13:00,0.058,,0.272,2.3,10.4,12.8,16.72,27.7,,9.1,88.8
20170714 14:00,0.032,,0.271,2.5,15,17.5,14.54,23.9,,9.3,14
20170714 15:00,0.027,,0.3,2.5,12.6,15.2,9.22,23.2,,5.8,99.2
20170714 16:00,0.016,,0.283,2.8,12.2,15,24.33,23.7,,5.4,106.5
20170714 17:00,0.018,,0.258,1.6,9.5,11.2,21.7,23.9,,4,120.8
20170714 18:00,0.035,,0.184,0.4,5.3,5.7,8.56,23.4,,3.9,149.5
20170714 19:00,0.034,,0.198,0.33,5.4,5.8,6.27,23.3,,2.4,159.9
20170714 20:00,0.037,,0.194,0.4,4.7,5.1,5.47,23.7,,2.9,219.8
20170714 21:00,0.028,,0.249,1,8.2,9.2,8.69,23.8,,3.1,272.6
20170714 22:00,0.028,,0.24,1.2,8.3,9.5,7.92,23.5,,3.3,291.7
20170714 23:00,0.03,,0.21,0.8,5.5,6.3,6.18,23.4,,2.1,276.5
20170715 00:00,0.028,,0.228,0.7,5.8,6.6,6.73,23.4,,1.6,306.6
20170715 01:00,0.03,,0.208,0.4,4.3,4.7,6.38,23.5,,1.5,287
20170715 02:00,0.03,,0.189,0.4,3.5,4,6.79,23.6,,1.7,306.5
