DateTime,o3,so2,co,no,no2,nox,pm25,t,rh,ws,wd
20170106 01:00,0.014,0.6,0.249,1.7,15.6,17.3,18,-0.9,81,2.6,342.5
20170106 02:00,0.016,0.5,0.218,2.3,11.9,14.2,16.36,-1,81,3,329.6
20170106 03:00,0.015,0.5,0.218,1.8,12.2,14,17.64,-1.1,80,2.8,348.5
20170106 04:00,0.015,0.5,0.223,2.6,12.7,15.3,16.12,-1.2,78,4.8,346.9
20170106 05:00,0.014,0.6,0.234,5.9,13.3,19.2,19.25,-1.3,76,5.3,343.5
20170106 06:00,0.017,0.7,0.242,7.8,12.8,20.6,14.78,-1.5,69,5.6,347.7
20170106 07:00,0.012,0.8,0.312,19.6,19.6,39.3,15.78,-1.6,68,4.7,342.4
20170106 08:00,0.012,1,0.318,28.3,21.8,50.2,15.33,-1.6,67,5.4,327.4
20170106 09:00,0.018,1.2,0.259,10.3,10.6,20.9,12.95,-1.4,62,6.4,325.7
20170106 10:00,0.021,1.2,0.237,9.7,9.5,19.3,9.54,-1.3,56,6.7,330.2
20170106 11:00,0.024,,0.226,10.5,9.5,20.1,7.66,-0.7,48,7.1,329.4
20170106 12:00,0.026,0.8,0.211,6.172,,,8.15,-0.5,46,7.7,322.5
20170106 13:00,0.024,0.7,0.216,,,,10.96,-0.5,47,8.5,304.5
20170106 14:00,0.025,0.6,0.216,6.5,10.5,17,10.38,-0.9,46,9.4,306.6
20170106 15:00,0.025,0.6,0.248,6.8,11.8,18.7,8.48,-1.3,44,9.8,300.8
20170106 16:00,0.024,0.6,0.236,8.4,13,21.5,8.59,-1.5,43,9.2,294.1
20170106 17:00,0.024,0.6,0.259,3.8,11.7,15.5,9.45,-1.7,44,7.9,296.8
20170106 18:00,0.021,0.7,0.231,6.5,14.3,20.8,8.61,-2,42,8.3,308.5
20170106 19:00,0.021,0.7,0.227,6.8,13.5,20.3,8.93,-2.4,41,7.9,310.6
20170106 20:00,0.018,0.7,0.224,9.7,16,25.8,9.29,-2.8,42,7.8,313.9
20170106 21:00,0.018,0.7,0.28,6.4,15.3,21.7,10.78,-3.2,44,4.5,324.6
20170106 22:00,0.017,0.7,0.247,5.3,14.6,20,11.4,-3.5,45,5.1,313.5
20170106 23:00,0.016,0.7,0.237,4.8,14.9,19.7,12.68,-3.8,48,6,311.6
20170107 00:00,0.019,0.7,0.22,4.6,13,17.7,12.42,-4,48,7,322.6
20170107 01:00,0.023,0.7,0.212,1.2,7.7,8.9,12.6,-4.1,47,6.7,330.8
20170107 02:00,0.022,0.7,0.201,1.4,8.9,10.3,12.04,-4.3,47,5.6,335.2
20170107 03:00,0.022,0.7,0.199,1.5,8.3,9.8,11.21,-4.3,47,5,345.5
20170107 04:00,0.023,0.8,0.204,1.2,7.7,8.9,11.09,-4.4,47,6.6,355.2
20170107 05:00,0.021,0.8,0.213,1.9,9.6,11.6,10.85,-4.4,48,6,8.8
20170107 06:00,0.026,0.7,0.196,2.1,8.1,10.3,7.13,-4.3,42,7.3,29
20170107 07:00,0.026,0.6,0.194,2.1,7.6,9.8,6.36,-4.5,42,6.9,48.9
20170107 08:00,0.025,0.6,0.207,2.9,8.6,11.6,6.54,-4.9,49,6.5,53.9
20170107 09:00,0.025,0.5,0.23,3.3,8.7,12.1,7.83,-5.7,63,6.8,5.2
20170107 10:00,0.023,0.5,0.256,4.9,11.4,16.4,10.42,-6.3,74,6.2,346.7
20170107 11:00,0.024,0.5,0.25,8,8.8,16.9,10.71,-6.4,76,6.7,345
20170107 12:00,0.025,0.6,0.255,5.8,8.7,14.6,10.19,-6.4,75,6.7,348.5
20170107 13:00,0.024,0.6,0.258,4.8,10.3,15.1,9.97,-6.3,76,6.4,343.3
20170107 14:00,0.026,0.6,0.248,4.6,9.3,13.9,8.97,-6.3,76,7.1,339.5
20170107 15:00,0.024,0.6,0.261,4.9,11,15.9,10.89,-6.3,74,5.9,343.7
20170107 16:00,0.019,0.6,0.288,7,14.3,21.3,13.32,-6.1,73,5.2,343.5
20170107 17:00,0.017,0.6,0.319,3,16.1,19.2,14.43,-5.8,69,4,313.7
20170107 18:00,0.015,0.7,0.311,3.2,18.4,21.6,13.48,-5.4,56,5.1,309.9
20170107 19:00,0.015,0.8,0.311,2.7,17.1,19.8,14.03,-5.7,52,5.9,309.7
20170107 20:00,0.018,0.8,0.298,2.7,14.4,17.2,13.96,-6,50,7,309.1
20170107 21:00,0.019,0.8,0.265,2.6,13.1,15.7,13.22,-6.3,49,7.8,305.3
20170107 22:00,0.022,0.7,0.232,2.5,11.2,13.7,11.48,-6.4,47,8,307.7
20170107 23:00,0.028,0.7,0.205,1.2,7.2,8.5,8.03,-6.4,43,9.9,314.6
20170108 00:00,0.029,0.7,0.195,0.7,6.8,7.5,7.82,-6.6,44,8.7,312.1
20170108 01:00,0.029,0.6,0.191,0.5,6.4,7,8.15,-6.9,44,9.5,307.7
20170108 02:00,0.029,0.6,0.189,0.5,6.4,7,8.08,-7.2,45,9.1,297.9
20170108 03:00,0.029,0.6,0.186,0.6,5.9,6.6,9.23,-7.8,46,12.1,297.3
20170108 04:00,0.027,0.6,0.193,0.5,7,7.5,10.97,-8.3,47,10.1,294.8
20170108 05:00,0.023,0.9,0.205,3.04,10.4,13.1,11.01,-9,48,9.2,296.3
20170108 06:00,0.022,0.8,0.213,1.3,10.7,12.1,10.4,-9.5,49,7.9,289
20170108 07:00,0.021,0.9,0.23,2.1,11.7,13.9,10.41,-9.9,49,7.1,284.5
20170108 08:00,0.024,1.5,0.219,2.5,8.3,10.9,10.37,-9.5,48,9.3,283.9
20170108 09:00,0.027,1.5,0.209,3,5,8,10.46,-8.4,46,14.8,294.5
20170108 10:00,0.028,1.5,0.204,3.4,4.5,7.9,9.63,-7.6,45,16,295.8
20170108 11:00,0.029,1.4,0.2,3.7,4.6,8.4,9.25,-6.8,43,17.1,298.5
20170108 12:00,0.03,1,0.192,3.7,4.4,8.2,6.35,-5.7,40,18,302.5
20170108 13:00,0.03,0.8,0.185,5.5,4.7,10.2,5.41,-5.1,37,17,298.6
20170108 14:00,0.03,0.8,0.182,5,6,11,5.02,-4.9,35,17.5,299.8
20170108 15:00,0.029,0.8,0.182,5.33,7.6,13,4.64,-4.9,33,16.4,302.7
20170108 16:00,0.029,0.8,0.178,1.9,6.2,8.1,4.29,-5.2,34,14.1,298.7
20170108 17:00,0.028,0.7,0.184,1.5,7.1,8.7,3.78,-5.6,34,11,293.2
20170108 18:00,0.027,0.8,0.184,1.1,7.3,8.5,3.79,-6,36,10.9,292.4
20170108 19:00,0.026,0.7,0.202,1.6,8.2,9.9,4.29,-6.4,38,8.1,291.2
20170108 20:00,0.025,0.7,0.21,1.1,9.4,10.5,4.57,-6.6,41,7.2,291.6
20170108 21:00,0.019,0.7,0.244,1.7,15.4,17.1,5.84,-7,44,4.9,283.6
20170108 22:00,0.019,0.6,0.234,1.1,14.5,15.7,4.96,-7.4,48,4.7,285.9
20170108 23:00,0.016,0.6,0.261,0.9,17.4,18.4,5.42,-7.8,50,4,276.6
20170109 00:00,0.012,0.6,0.277,1.9,21.5,23.5,7.29,-8.4,51,4.1,276.9
20170109 01:00,0.012,0.6,0.286,1.7,21.2,22.9,7.14,-9.1,51,4.5,283.4
20170109 02:00,0.012,0.7,0.257,1.5,20.8,22.3,6.31,-9.5,52,3.7,289.4
20170109 03:00,0.009,0.7,0.25,8.948,24.1,31.8,6.33,-9.7,52,3.4,282.3
20170109 04:00,0.008,0.7,0.268,4.4,25.2,29.6,6.63,-10.2,54,3.9,280.8
20170109 05:00,0.006,1.1,0.298,17.015,27.3,43.4,7.3,-10.2,54,4.9,299.1
20170109 06:00,0.008,1.1,0.372,9.993,25.1,34.6,6.96,-10,53,3.7,285.6
20170109 07:00,0.004,1.4,0.479,29.687,33.3,58.4,8.35,-9.9,55,3.7,268.4
20170109 08:00,0.006,2.2,0.533,62.3,31,93.4,9.55,-9.1,52,5.9,293.3
20170109 09:00,0.015,2.5,0.318,18,20.9,38.8,7.97,-7.8,47,6,298.9
20170109 10:00,,2.4,0.237,8.1,14.2,22.4,6.94,-6.8,43,4.4,275.6
20170109 11:00,0.027,,,3.7,7.3,11.1,5.91,-6.2,42,4,268.7
20170109 12:00,0.029,1.2,0.2,4.341,7.1,11.5,5.09,-5.3,40,4.4,246.7
20170109 13:00,0.031,1,0.165,2.4,5.9,8.3,4.12,-5.1,39,3.6,193.9
20170109 14:00,0.029,1.1,0.182,8.46,8.2,13.3,5.2,-4.9,42,5,189.5
20170109 15:00,0.029,0.9,0.181,1.6,6.7,8.3,5.41,-4.8,43,5.6,216.8
20170109 16:00,0.023,1.1,0.352,3,13.6,16.6,6.41,-4.8,41,4.4,206.6
20170109 17:00,0.019,1.1,0.453,3,17.6,20.6,7.23,-5.1,46,4.1,185.4
20170109 18:00,0.025,1.1,0.259,1.5,11.7,13.3,5.82,-5.1,44,5,215.2
20170109 19:00,0.025,1,0.223,1,11.1,12.1,5.58,-5.2,47,3.9,218.3
20170109 20:00,0.026,0.9,0.193,0.9,10,10.9,5.7,-5.4,48,5.8,218.3
20170109 21:00,0.027,0.9,0.197,0.7,8.6,9.3,5.6,-5.6,50,4.5,229.9
20170109 22:00,0.021,0.9,0.226,3.6,13.6,17.2,6.67,-6.1,53,3.2,251.6
20170109 23:00,0.018,1.1,0.241,0.9,16,16.9,7.46,-6.9,53,2.6,269.6
20170110 00:00,0.011,1.5,0.263,1.6,24.6,26.3,8.86,-7.3,55,2.4,285.8
20170110 01:00,0.011,1.2,0.248,1,23,24.1,9.82,-7.4,57,1.8,289.4
20170110 02:00,0.008,0.9,0.285,2.2,26.4,28.7,10.27,-7.2,59,,323.7
20170110 03:00,0.001,1.1,0.435,42.7,37.6,80.4,10.95,-7.4,64,1.6,339.2
20170110 04:00,0,1.2,0.463,52,38.5,90.6,13.22,-7.2,68,1.5,96.4
20170110 05:00,0,1.1,0.467,40,36.1,76.1,18.79,-6.7,70,1.1,77.3
20170110 06:00,0.001,0.9,0.383,22.5,34.4,56.9,12.35,-6.5,73,3.4,90.4
20170110 07:00,0.001,1,0.367,27.15,35.6,62.1,12.11,-6.2,71,2.9,119.2
20170110 08:00,0.004,1.3,0.39,36.6,32.7,69.4,13.63,-5.1,68,3.2,122.9
20170110 09:00,0.014,1.4,0.288,16.8,22.4,39.2,11.58,-3,60,4.6,160.8
20170110 10:00,0.025,1.5,0.219,3.8,11.5,15.3,9.61,-1.4,49,4.7,207.4
20170110 11:00,0.027,2.2,0.217,3.4,10,13.5,8.35,-0.6,41,5.3,216.1
