ORIS,Unit ID,Facility,State,ERTAC Region,Fuel/Unit Type Bin, Maximum hourly heat input (mmbtu) , ERTAC heat rate (btu/kw-hr) , OS heat rate (btu/kw-hr) , Non-OS heat rate (btu/kw-hr) , Generation capacity (MW) , num of hours in FY where unit operated at max hourly , BY Utilization fraction , FY Utilization fraction , Base year generation (MW-hrs) , Base year heat input (mmbtu) , Future year generation (MW-hrs) , Future year heat input (mmbtu) , BY Annual SO2 (tons) , BY Average Annual SO2 Rate (lbs/mmbtu) , BY Annual NOx (tons) , BY Average Annual NOx Rate (lbs/mmbtu) , BY OS NOx (tons) , BY Average OS NOx Rate (lbs/mmbtu) , BY OS heat input (mmbtu) , BY NonOS NOx (tons) , BY Average NonOS NOx Rate (lbs/mmbtu) , FY Annual SO2 (tons) , FY Average Annual SO2 Rate (lbs/mmbtu) , FY Annual NOx (tons) , FY Average Annual NOx Rate (lbs/mmbtu) , FY OS NOx (tons) , FY Average OS NOx Rate (lbs/mmbtu) , FY OS heat input (mmbtu) , FY NonOS NOx (tons) , FY Average NonOS NOx Rate (lbs/mmbtu) ,Hierarchy Order,Longitude,Latitude,Generation Deficit Unit?, Retirement Date, New Unit?, Gasified?
55146,CTGEN1,Green Country Energy LLC,OK,SPPR,combined cycle gas,2199,7372.86937,7404.996061,7321.679765,298.2556573,94,0.481236865,0.499069011,1257336.97,9270181.234,1303927.366,9613686.14,2.7811825,0.000600028,103.795198,0.022393348,60.086362,0.021007654,5720425.584,43.708836,0.024626391,2.88423872,0.000600028,107.6785761,0.022401101,61.95245607,0.021022036,5894049.155,45.72612005,0.024586335,20,-95.9346,35.9833,N,1/1/2050,,
55146,CTGEN2,Green Country Energy LLC,OK,SPPR,combined cycle gas,2199,7397.456545,7414.146215,7373.340251,297.2643349,88,0.506518149,0.525511629,1318991.28,9757180.677,1368450.976,10123056.63,2.927301,0.00060003,109.6175655,0.022469106,60.383901,0.020895904,5779496.314,49.2336645,0.024754938,3.037069291,0.00060003,113.7430457,0.022472075,62.72346022,0.02092654,5994632.545,51.01958547,0.024716252,18,-95.9346,35.9833,N,1/1/2050,,
55146,CTGEN3,Green Country Energy LLC,OK,SPPR,combined cycle gas,2210,7341.070076,7334.587559,7349.745253,301.0460297,77,0.540489951,0.562786485,1425360.22,10463669.26,1484159.818,10895321.23,3.1392535,0.000600029,124.0795005,0.02371625,67.4137215,0.022533713,5983365.538,56.665779,0.025295508,3.26875539,0.000600029,129.2063283,0.023717764,69.59363768,0.022533713,6176845.961,59.61269058,0.025267777,14,-95.9346,35.9833,N,1/1/2050,,
55148,1,Worthington Generation,IN,RFCW,simple cycle gas,460,10705.36232,10644.55593,10856.43742,42.96912019,50,0.044999901,0.04710231,16938.39,181331.602,17729.75651,189803.4672,0.0544165,0.000600188,7.3923865,0.081534453,5.204751,0.080971166,128558.134,2.1876355,0.082906642,0.056958855,0.000600188,7.737602487,0.081532783,5.454547713,0.080971166,134728.1505,2.283054774,0.082906642,115,-87.0128,39.0717,N,1/1/2050,,
55148,2,Worthington Generation,IN,RFCW,simple cycle gas,460,10925.41431,10908.72708,10971.1239,42.10366645,59,0.037530219,0.039291862,13842.2,151231.77,14491.94347,158330.4866,0.0453825,0.000600172,6.5968825,0.087242019,4.802931,0.086838501,110617.547,1.7939515,0.088341047,0.047512724,0.000600172,6.90662771,0.087243182,5.023058834,0.086838501,115687.3681,1.883568876,0.088341047,141,-87.0128,39.0717,N,1/1/2050,,
55148,3,Worthington Generation,IN,RFCW,simple cycle gas,460,11004.30495,10961.89601,11124.14509,41.8018223,51,0.028187581,0.029447653,10321.84,113584.675,10783.25819,118662.2614,0.0340865,0.000600195,4.631333,0.081548554,3.338727,0.079900231,83572.399,1.292606,0.086138485,0.035610272,0.000600195,4.838385455,0.08154885,3.487753774,0.079900231,87302.72048,1.350631681,0.086138485,162,-87.0128,39.0717,N,1/1/2050,,
55148,4,Worthington Generation,IN,RFCW,simple cycle gas,460,10977.83695,10896.01131,11243.61174,41.90260814,46,0.032713033,0.034102292,12007.87,131820.439,12517.82086,137418.5964,0.039552,0.000600089,5.8562365,0.088851722,4.413501,0.088236085,100038.459,1.4427355,0.090789529,0.041231696,0.000600089,6.104299617,0.08884241,4.623044113,0.088236085,104788.0603,1.481255504,0.090789529,153,-87.0128,39.0717,N,1/1/2050,,
55149,LRG1,Lake Road Generating Company,CT,NEWE,combined cycle gas,2276,11673.76919,11772.12924,11603.6671,194.9670207,5,0.662828914,0.534796727,1132052.86,13215323.8,913385.2666,10662648.78,3.964808,0.000600032,41.7798615,0.006322942,17.7808795,0.006412581,5545623.705,23.998982,0.006258128,3.198964766,0.000600032,33.71886521,0.00632467,14.71235036,0.006411574,4589309.757,19.00651485,0.006259,11,-71.8947,41.8736,N,1/1/2050,,
55149,LRG2,Lake Road Generating Company,CT,NEWE,combined cycle gas,2276,11613.34738,11626.62242,11602.92398,195.9813933,29,0.674477266,0.54645164,1157940.55,13447565.85,938146.5387,10895021.64,4.0344675,0.000600029,40.4797995,0.006020391,17.463855,0.00589849,5921465.89,23.0159445,0.006116301,3.268666704,0.000600029,32.77900897,0.006017245,14.61003152,0.005899825,4952699.737,18.16897746,0.00611511,10,-71.8947,41.8736,N,1/1/2050,,
55149,LRG3,Lake Road Generating Company,CT,NEWE,combined cycle gas,2276,11639.20391,11772.63437,11535.21491,195.5460199,17,0.651721344,0.530277459,1116387.67,12993863.74,908356.3428,10572544.7,3.8983525,0.00060003,34.857745,0.005365263,15.700197,0.005454756,5756517.181,19.157548,0.005294081,3.171920754,0.00060003,28.36938669,0.005366615,13.0019288,0.005453786,4768038.11,15.36745789,0.005295009,12,-71.8947,41.8736,N,1/1/2050,,
